NAME;NAME_LEN;BLURB_LEN;USD;PLEDGED;GOAL;SUCCESS_RATE;STATE;CATEGORY;SPOTLIGHT;STAFF_PICKED;CURR_TRAILING;BACKERS;START_YEAR;DAYS;;
highway 30: sustainable improvements and traffic services;57;133;0;36,9939752;40823,38012;0,000906196;failed;Web;False;False;False;7;2016;30;;
SS07 - High quality stereo microphone for Android;49;121;0;3120,713308;27656,091;0,11284;failed;Sound;False;False;False;27;2016;32,99247685;;
Helpful Humans USA;18;129;1;894;250000;0,003576;failed;Web;False;False;True;5;2016;30;;
Spectroscopy Ninja: providing optical spectroscopy software;59;133;0;18007,60091;27341,20464;0,658625;failed;Software;False;False;False;154;2016;31;;
It's your stage, promote yourself.;34;132;1;26;150000;0,000173333;failed;Web;False;False;True;2;2016;30;;
Event Horizon Larp;18;133;1;51864;43500;1,192275862;successful;Immersive;True;True;True;120;2016;30;;
Gecho Loopsynth, Infinite Music from Your Environment & You;59;125;0;52925,58045;25866,24984;2,046125;successful;Sound;True;True;False;528;2016;45;;
Mogees Play - Learn, make music and play games;46;97;0;78368,13406;53212,01;1,47275275;successful;Sound;True;True;False;1177;2016;31,09304398;;
A global network for monitoring the sounds of nature;52;132;1;2954;80000;0,036925;failed;Sound;False;False;True;32;2016;35;;
Adventure Life (Official name still TBD);40;129;1;166;150000;0,001106667;failed;Apps;False;False;True;4;2016;30;;
IWANT2GO - Festival and Event Virtual Reality;45;134;0;1,45049251;72524,6255;0,00002;failed;Gadgets;False;False;False;1;2016;30;;
FindClone mobile app;20;80;0;49,1607171;27311,5095;0,0018;failed;Software;False;False;False;8;2016;40;;
Cryptostripe - Consumer Data Protection;39;110;1;24157;25000;0,96628;failed;Software;False;False;True;14;2016;23,34725694;;
Nomax™: Workout Anywhere, Anytime, Anyway;43;137;1;6774;50000;0,13548;failed;Wearables;False;False;True;52;2016;31,49920139;;
Vyu360™, Immersive 360° Media for Everyone.;46;127;1;26035;30000;0,867833333;failed;Gadgets;False;False;True;577;2016;45;;
"(Pet-A-Tree), ""where every pet deserves a pedigree"".";52;131;1;0;100000;0;failed;Web;False;False;True;0;2016;45;;
WiFriend - Find new friends in Wi-Fi space;42;135;1;180;30000;0,006;failed;Software;False;False;True;7;2016;30;;
The Emergency Portable Power Unit;33;131;1;519;42000;0,012357143;failed;Gadgets;False;False;True;1;2016;30;;
Wi board - turn your Tablet/smartphone into a Windows laptop;60;93;0;27782,59169;135036,2916;0,205741667;failed;Hardware;False;False;False;104;2016;30;;
Simply People - the Social Ad-Free Internet Browser;51;134;0;10,13248957;217124,7765;4,67E-05;failed;Web;False;False;False;3;2016;28;;
Vestia Automatic Vacuum Wine Saver;34;40;1;8129;35000;0,232257143;failed;Gadgets;False;False;True;143;2016;30;;
The iMask Konnect - a Hands-Free Motorbike Mask;47;134;1;58;50000;0,00116;failed;Wearables;False;False;True;4;2016;45,5046875;;
Time Circuits : Back To The Future Collectible;46;128;0;6871,671338;27802,522;0,24716;failed;Gadgets;False;False;False;9;2016;30;;
AUXON the AQUA SOUND STATION;28;125;0;3542,998099;33636,0579;0,105333333;failed;Sound;False;False;False;24;2016;40;;
Ripcord - The plug 'n play anywhere USB power cable;51;103;0;32474,17936;28715,0365;1,130912;successful;Hardware;True;False;False;688;2016;30;;
BIG-i: The First Personalized Family Robot;42;135;1;190767;100000;1,90767;successful;Robots;True;False;True;176;2016;46;;
Selfie Hitch;12;133;1;1056;40000;0,0264;failed;Gadgets;False;False;True;25;2016;30;;
One Button Survey (OBS);23;124;0;15589,79517;55477,06575;0,281013333;failed;Hardware;False;False;True;8;2016;60;;
MOMTASKS;8;43;1;0;50000;0;failed;Apps;False;False;True;0;2016;30;;
Font Awesome 5;14;131;1;1076960,14;30000;35,89867133;successful;Software;True;True;True;35550;2016;38,00233796;;
Cubetto - Hands on coding for ages 3 and up;43;132;1;1596457,66;100000;15,9645766;successful;Hardware;True;True;True;6553;2016;30;;
Mighty - Streaming Music Without Your Phone;43;108;1;300101;250000;1,200404;successful;Hardware;True;False;True;2951;2016;30,27679398;;
Synchro Dental Software;23;45;0;0,78012248;39006,124;0,00002;failed;Software;False;False;True;1;2016;30;;
Software that will Save Our Science;35;129;1;1861;60000;0,031016667;failed;Software;False;False;True;22;2016;32,65952546;;
vMe, your virtual footprint;27;120;0;5660,271223;225060,486;0,02515;failed;Software;False;False;False;43;2016;30;;
EZSHOVEL™ - Stand Straighter, Less Bending;44;117;1;3088;250000;0,012352;failed;Hardware;False;False;True;125;2016;30,46299769;;
Grow God;8;129;1;11;32450;0,000338983;failed;Hardware;False;False;True;2;2016;30;;
Vino Veritas The Perfect Tool to Quality Wine & Experiences;59;132;0;3226,488147;37205,8135;0,08672;failed;Apps;False;False;True;122;2016;40;;
ICLIPIT;7;68;1;1;105000;9,52E-06;failed;Web;False;False;True;1;2016;30;;
Wir wollen, dass jedes Kind Mathe verstehen + anwenden kann.;60;132;0;1157,935761;33401,9931;0,034666667;failed;Web;False;False;False;16;2016;60;;
Carat Pro - Heart Rate Monitor & 4GB Storage Sport Earbuds;58;133;1;51881;50000;1,03762;successful;Sound;True;False;True;271;2016;40;;
Backpack Delivery Website/Service;33;135;1;0;50000;0;failed;Web;False;False;True;0;2016;14;;
Mobile Gamer Facebook;21;135;1;0;25000;0;failed;Web;False;False;True;0;2016;30;;
HELLO The Most Advanced Video Communication Device;50;135;1;401635;30000;13,38783333;successful;Hardware;True;False;True;928;2016;45;;
TeraGlass: Own Personal Head Mounted Display;44;117;1;42760;42750;1,000233918;successful;Hardware;True;False;True;58;2016;35;;
FLYING FOOD;11;116;0;27,76081275;55521,6255;0,0005;failed;Gadgets;False;False;False;1;2016;4,797974537;;
The Ultimate Solution for Non-stop Music while Charging;55;92;1;153636;60000;2,5606;successful;Gadgets;True;False;True;6539;2016;30;;
Body scanner - New Tailoring Experience by Adriana Zizolfi;58;99;0;0;32651,7108;0;failed;Apps;False;False;False;0;2016;30;;
You Tune - Adjustable Earplugs and Wireless Earphones;53;134;1;136476;50000;2,72952;successful;Sound;True;False;True;2154;2016;45;;
Pins Collective;15;104;1;102066;75000;1,36088;successful;Wearables;True;True;True;1042;2016;30,36376157;;
IOFIT: The First Smart Shoes To Improve Your Golf Game!;55;116;1;102581;30000;3,419366667;successful;Wearables;True;False;True;449;2016;36;;
Go Live on Fairshare Media World;32;134;0;53,2646505;76937,8285;0,000692308;failed;Web;False;False;True;3;2016;45;;
IDOSH - I DO SHARING! SHARE YOUR RIDE, SHARE YOUR HOBBIES!;58;34;0;3079,444534;154229,2755;0,019966667;failed;Web;False;False;False;38;2016;45;;
Objective Zero App - Fighting Veteran, Military Suicide;55;135;1;38000;35000;1,085714286;successful;Apps;True;False;True;235;2016;30;;
Learnometer: better learning by tracking environmental data;59;134;0;13687,94345;65618,13735;0,2086;failed;Hardware;False;False;False;40;2016;45;;
Pilllar - The Creative Network;30;137;0;181,6660076;32440,3585;0,0056;failed;Web;False;False;False;4;2016;36,39606481;;
Spotlight Musicals;18;104;1;60;50000;0,0012;failed;Musical;False;False;True;3;2016;58,96163194;;
Fully adjustable, retractable, flexible, upper body brace;57;135;0;2879,873675;77708,41;0,03706;failed;Wearables;False;False;True;17;2016;45;;
BuWizz - Remote Control and Battery for LEGO® Models;53;127;1;55165;50000;1,1033;successful;Gadgets;True;False;True;318;2016;30;;
Easy Market Manager - Store + Economy Manager;45;86;0;0;31791,4482;0;failed;Software;False;False;False;0;2016;30;;
EyeForcer - Wearable Tech that Monitors Kids' Posture;53;130;0;13494,85949;154580,292;0,0873;failed;Wearables;False;False;True;22;2016;30;;
CROWDFUNDING 2.0 - copyright your project!;42;130;0;280,9636496;78356,3963;0,003585714;failed;Web;False;False;False;5;2016;56,03515046;;
Pixstavault™ - the LAST photo app you will EVER need!;55;125;0;186,6179739;75860,965;0,00246;failed;Apps;False;False;True;5;2016;25,64642361;;
FullTrack Concrete Trowelling Machine;37;92;0;139,8392195;52178,81325;0,00268;failed;Hardware;False;False;True;3;2016;45;;
EcoQube Air - The World's First Desktop Greenhouse;50;90;1;305746,69;25000;12,2298676;successful;Hardware;True;True;True;2078;2016;59,70399306;;
Splitlock Data Protection;25;114;0;38,8560177;228564,81;0,00017;failed;Software;False;False;True;2;2016;35;;
SilentKeys: A Keyboard that Protects your Privacy & Security;60;120;0;123135,6958;55510,0375;2,21826;successful;Hardware;True;True;False;743;2016;35;;
SomnoScope;10;64;0;1017,323662;104127,294;0,00977;failed;Wearables;False;False;False;5;2016;30;;
Codeybot: New Robot Who Teaches Coding;38;94;1;194634;100000;1,94634;successful;Robots;True;True;True;1038;2016;45;;
Social Media Application Remote Terminal & App (SMART);54;135;0;74,96360795;169090,845;0,000443333;failed;Hardware;False;False;True;6;2016;60;;
Latch Catch, Hotel door safety, Hotel door lock;47;123;1;84;75000;0,00112;failed;Hardware;False;False;True;3;2016;45;;
Evolve Computers: The worlds first fully upgradeable laptop;59;104;1;6554;100000;0,06554;failed;Hardware;False;False;True;15;2016;30;;
OTR-250 FPV Frame;17;118;1;2492;46000;0,054173913;failed;Flight;False;False;True;14;2016;30,62407407;;
Sistema de gestión electrónica ultra-eficiente para baterías;63;133;0;1,1128422;38949,477;2,86E-05;failed;Hardware;False;False;False;1;2016;35;;
TFL London Dating on the go;27;135;0;37,33314962;43076,7111;0,000866667;failed;Apps;False;False;False;2;2016;29,1056713;;
The AnyCafé Travel Brewer - The Travel Mug That Brews Coffee;61;123;1;93161;75000;1,242146667;successful;Gadgets;True;False;True;1051;2016;40,01237269;;
HelioTent - The Healthier Sun Shade;35;130;0;33742,10715;28113,737;1,2002;successful;Gadgets;True;False;False;99;2016;45;;
Mit;3;45;0;10,08385448;144055,064;0,00007;failed;Apps;False;False;False;3;2016;30;;
Twistear - the tangle-free way!;31;97;1;25253;25000;1,01012;successful;Gadgets;True;False;True;267;2016;45;;
ZENCRATE is The World’s First Anti-Anxiety “Smart” Dog Den;64;126;1;145784;80000;1,8223;successful;Gadgets;True;False;True;325;2016;30;;
Perpetual Electricity Turbine Vortex Force Reactor;50;99;1;0;30000;0;failed;Gadgets;False;False;True;0;2016;10;;
3 Green Energy 3;16;69;1;310;147000;0,002108844;failed;Gadgets;False;False;True;4;2016;34,98385417;;
Plobot | Physical Coding for ages 4 and up;42;121;1;39054;35000;1,115828571;successful;Robots;True;True;True;345;2016;30;;
ONE NIGHT MEET & GREET COMEDY;29;72;1;0;40000;0;failed;Festivals;False;False;True;0;2016;20;;
West Side Story informs the American Presidential Election!;59;132;1;25030;25000;1,0012;successful;Musical;True;False;True;89;2016;30;;
Garstin Luxury Stainless Steel Case for the Apple Watch;55;127;1;2607;100000;0,02607;failed;Wearables;False;False;True;24;2016;60;;
Drumble;7;135;0;1664,01573;35314,4255;0,04712;failed;Web;False;False;False;11;2016;30;;
The VieTagz NFC Wristband - Medical ID, Contactless Payment;59;98;1;2281;50000;0,04562;failed;Wearables;False;False;True;40;2016;30;;
LEMON: Most Advanced Solar Powered Smart Wireless Speaker;57;135;1;109549;100000;1,09549;successful;Sound;True;False;True;413;2016;35;;
Versafit Wireless - Non Noise-Blocking Sweatproof Headphones;60;132;1;40078;35000;1,145085714;successful;Wearables;True;False;True;459;2016;37,41623843;;
Helping every child create a magical world;42;135;1;11;25000;0,00044;failed;Software;False;False;True;2;2016;30;;
Qi Aerista - Smart Tea Brewer for Every Type of Tea;51;80;0;173216,3247;77335,794;2,239795;successful;Gadgets;True;True;True;1180;2016;30;;
BABA YAGA: A Traveling Performing Arts Wagon;44;135;1;25088;25000;1,00352;successful;Spaces;True;True;True;218;2016;30;;
Culture Clips Pilot Launch;26;129;1;46715;45000;1,038111111;successful;Web;True;False;True;81;2016;28;;
Aurec - capture high quality sound on the go!;45;102;1;421;50000;0,00842;failed;Sound;False;False;True;6;2016;41;;
ApexDuo: 21st Century Razor That Shaves 60% Faster!;51;101;1;2050;50000;0,041;failed;Gadgets;False;False;True;59;2016;30;;
Nature Remo: Make Any Room Air Conditioner Smart;48;91;1;95557;50000;1,91114;successful;Hardware;True;False;True;1086;2016;30;;
Sekai Beauty: A Better Way to Makeup;36;135;1;0;30000;0;failed;Software;False;False;True;0;2016;60;;
Projecta: The Ultimate Solution For The PCB Printing Problem;60;106;1;15445;50000;0,3089;failed;Hardware;False;True;True;52;2016;30;;
Animal Soul;11;132;1;0;200000;0;failed;Experimental;False;False;True;0;2016;30;;
FairVideoWorld;14;135;1;3;60000;0,00005;failed;Web;False;False;True;3;2016;60;;
Extend-A-Vent The last car phone holder you will ever need;58;133;1;120;50000;0,0024;failed;Gadgets;False;False;True;5;2016;60;;
WOWSE! The first dating app for properties;42;52;0;1,4518192;65331,864;2,22E-05;failed;Apps;False;False;False;1;2016;29,44028935;;
SenCbuds™ - The Worlds First Self-Pausing Earbuds!;52;127;1;2521;65000;0,038784615;failed;Sound;False;False;True;50;2016;30;;
What's Best for Me - College Degree or Skills Training;54;132;1;75;150000;0,0005;failed;Web;False;False;True;1;2016;44,68346065;;
Lemurlock Lockable Bike Lights;30;107;1;5121;39000;0,131307692;failed;Gadgets;False;False;True;30;2016;30;;
iCoolPack The Smarter Backpack with 3 Powerful Cooling Fans;59;85;0;11936,22427;103156,376;0,11571;failed;Wearables;False;False;True;20;2016;40;;
The Scope;9;141;1;61;32000;0,00190625;failed;Hardware;False;False;True;2;2016;30;;
Larkin Innovations Floating HDTV Mount;38;98;1;25;50000;0,0005;failed;Hardware;False;False;True;1;2016;30;;
FINCLIP, the easiest way to don/doff your scuba diving fins;59;135;0;29793,14735;101764,1376;0,292766667;failed;Wearables;False;False;False;310;2016;33,63055556;;
ILLUSIO Augmented Reality Virtual Mirror for Breast Imaging;59;127;1;3674;50000;0,07348;failed;Software;False;False;True;32;2016;30;;
NoSiteUnseen: Interactive eCommunities Evolved on WordPress;59;134;0;298,7748;51263,78018;0,005828185;failed;Web;False;False;True;5;2016;28;;
Discover your curiosity, share your interests, and grow.;56;109;1;260;235000;0,001106383;failed;Apps;False;False;True;6;2016;11;;
Tiny Rock Cube;14;96;1;187;37500;0,004986667;failed;Wearables;False;False;True;17;2016;30;;
Coros LINX Smart Cycling Helmet: Safely tune in to your ride;60;134;1;319765;50000;6,3953;successful;Wearables;True;True;True;2135;2016;47,3815162;;
OTO: Touch the shape of sound;29;135;1;33793;33331;1,01386097;successful;Sound;True;True;True;172;2016;29;;
Slavic Nation — Mobile App Connecting a Community;51;70;1;11078;32348;0,342463213;failed;Apps;False;False;True;17;2016;30;;
FireBoard - Cloud Connected Smart Thermometer;45;120;1;35819;30000;1,193966667;successful;Hardware;True;False;True;205;2016;36,29775463;;
NonFakeUsers.com;16;133;1;7;100000;0,00007;failed;Web;False;False;True;3;2016;30;;
if... TITANIUM Pen;18;129;0;23878,15168;47928,8472;0,4982;failed;Gadgets;False;False;True;227;2016;45,99971065;;
Growver: Lawn Watering Robot;28;88;1;4884;100000;0,04884;failed;Robots;False;False;True;36;2016;30;;
Growler Big Stout Fat Bike - Fat Tire & 29er Plus;49;134;1;1828;60000;0,030466667;failed;Hardware;False;False;True;9;2016;30;;
The G.E.N.E.S.I.S. Robotics Platform;36;135;1;156;50000;0,00312;failed;Robots;False;False;True;5;2016;30;;
Octopus by Joy, the training wheels for good habits!;52;135;1;777777;50000;15,55554;successful;Wearables;True;True;True;6954;2016;45;;
Oneride app;11;134;1;1;110000;9,09E-06;failed;Software;False;False;True;1;2016;33,91677083;;
Taking the chef out of the kitchen!;35;126;1;0;40000;0;failed;Software;False;False;True;0;2016;15;;
Mymanu CLIK-Truly wireless earbuds with voice translation;57;118;0;126014,317;90448,6254;1,393214286;successful;Wearables;True;False;False;613;2016;45,42672454;;
The Klip Trio: 3-in-1 Pet Nail Trimmer;38;134;1;1355;50000;0,0271;failed;Gadgets;False;False;True;20;2016;30;;
Flux Rose - App Controlled Smart Ceiling Rose;45;132;0;1642,465926;130873,779;0,01255;failed;Hardware;False;False;False;8;2016;30;;
#BackOnTheWall - 4 Photographers, 4 Styles, 1 Mission;53;127;0;19308,61487;26450,15736;0,73;failed;Places;False;False;False;66;2016;40;;
iXtra Case for Your iPhone 6, 6s, 6Plus 6sPlus;46;128;1;1976;50000;0,03952;failed;Hardware;False;False;True;22;2016;30;;
Macbook all-in-one Portable storage docking station PLUSDOCK;60;112;1;21380;50000;0,4276;failed;Gadgets;False;False;True;99;2016;30;;
The Disaster Prediction App;27;110;1;119910,44;35000;3,426012571;successful;Apps;True;False;True;2208;2016;21;;
The Smart Garden: Your solution for better food.;48;125;1;350749;78000;4,496782051;successful;Hardware;True;True;True;2145;2016;30;;
S·Tone, Feel The Music and Free Your Sport;43;79;0;33338,50331;67678,0782;0,492604167;failed;Sound;False;False;False;169;2016;30;;
Wirebutter:Worlds smartest powerboard,measure,control & IOT;59;122;0;55375,14542;45294,44455;1,222559322;successful;Gadgets;True;False;True;277;2016;60;;
Balls To The Wall;17;131;1;25;37500;0,000666667;failed;Robots;False;False;True;1;2016;45;;
Mi Kidz: The Ultimate Cooking Playground;40;132;1;332;54000;0,006148148;failed;Web;False;False;True;8;2016;30;;
An affordable thermal scanner.;30;111;1;1113;47000;0,023680851;failed;Gadgets;False;False;True;28;2016;30;;
Romoss Powerful Charger Station for Family and Business;55;122;1;14085;30000;0,4695;failed;Gadgets;False;False;True;89;2016;31;;
Yellowbox kids wifi and learning center;39;133;1;3;50000;0,00006;failed;Gadgets;False;False;True;3;2016;28,01038194;;
An ethical revolutionary outsourcing website.;45;108;1;76;30000;0,002533333;failed;Web;False;False;True;3;2016;60;;
Seaver - The first connected equipment for horses;49;128;0;86116,12149;56261,5125;1,53064;successful;Wearables;True;False;False;347;2016;42,3712037;;
Muzo - Your Personal Zone Creator with Noise Blocking Tech.;59;135;1;532666;100000;5,32666;successful;Gadgets;True;False;True;2984;2016;36,47863426;;
CharitApp - A Charity & Humanitarian Application;48;130;0;58,4088804;25617,93;0,00228;failed;Apps;False;False;False;2;2016;40;;
Notelion - Notes You Can ReLION;31;121;1;2;29000;6,90E-05;failed;Web;False;False;True;2;2016;30;;
AIRBUD - Ultimate Multi-Radio Wireless Platform;47;78;0;4275,48196;26124,6279;0,163657143;failed;Hardware;False;False;True;11;2016;30;;
Growing Skills Trellis (automated autism learning system);57;135;1;655;30000;0,021833333;failed;Software;False;False;True;5;2016;45;;
Battery Plug - Plug in any electronic device;44;131;0;1603,431022;37791,30355;0,042428571;failed;Wearables;False;False;False;9;2016;59,91030093;;
ReSpeaker - Add Voice Control Extension To Anything You Like;60;133;1;193963,9;40000;4,8490975;successful;Hardware;True;True;True;1780;2016;30;;
Global Presentation Streams;27;125;1;560;120000;0,004666667;failed;Software;False;False;True;7;2016;30;;
Project Mecca;13;91;1;575;192000;0,002994792;failed;Web;False;False;True;15;2016;31,36971065;;
X-Rated: The Online Rating & Review Game & How You Can Win.;59;116;1;10;50000;0,0002;failed;Software;False;False;True;1;2016;35,00833333;;
uTenants;8;96;1;2;100000;0,00002;failed;Software;False;False;True;2;2016;30;;
Universal Language App;22;109;0;589,0168333;33315,43175;0,01768;failed;Software;False;False;False;14;2016;59;;
A revolutionary new walking device for adults and children!;59;134;1;271;175000;0,001548571;failed;Flight;False;False;True;2;2016;59,99856481;;
A.S.R - Automatic Service Reminder;34;132;0;1,5005856;41266,104;3,64E-05;failed;Gadgets;False;False;True;2;2016;30;;
MoTv8d (Motivated, local deals);31;129;1;0;250000;0;failed;Web;False;False;True;0;2016;30;;
Virtual Reality (VR) Bucket List;32;125;1;502;50000;0,01004;failed;Apps;False;False;True;3;2016;30;;
KOMBOS: Modular Keyboard;24;134;1;28200;25000;1,128;successful;Gadgets;True;True;True;85;2016;40;;
Specter: Safe and Stylish Device for Night Runners &Athletes;60;112;1;30568;30000;1,018933333;successful;Wearables;True;False;True;232;2016;35;;
ACTREK: THE WORLD’S FIRST SMART FITNESS WEARABLE;50;121;1;61250,43;100000;0,6125043;failed;Wearables;False;False;True;237;2016;60;;
Toilet Bowl Deodorizer;22;105;1;150;250000;0,0006;failed;Gadgets;False;False;True;5;2016;60;;
RollTec Grappling: The first wearable made for grapplers.;57;135;0;6865,652997;25406,836;0,270228571;failed;Wearables;False;False;False;72;2016;29,92311343;;
Sound Pressure Laboratory;25;134;1;0;100000;0;failed;Sound;False;False;True;0;2016;30;;
Spirit Rover - Learn Raspberry Pi and Arduino the fun way!;58;121;1;171403;30000;5,713433333;successful;Robots;True;True;True;599;2016;18,89260417;;
ST4 Hybrid Synthesizer/Tracker;30;130;0;34350,04754;32680,0947;1,0511;successful;Sound;True;True;False;76;2016;28;;
123 Speak Communication System;30;74;1;3400;52000;0,065384615;failed;Software;False;False;True;9;2016;30;;
Ockel Sirius B: the powerful Windows 10 Pocket PC;49;107;0;54183,51654;49450,5495;1,095711111;successful;Hardware;True;False;False;185;2016;30;;
PollMole: Empowering Opinions In Real Time;42;133;1;25;50000;0,0005;failed;Software;False;False;True;1;2016;26,71706019;;
Laser Aiming Putter: Golf;25;106;1;101;250000;0,000404;failed;Hardware;False;False;True;2;2016;33,96415509;;
Job Chop-Chop! The ultimate PC/Mac job hunting software!;56;121;1;10;25000;0,0004;failed;Software;False;False;True;1;2016;30;;
BioGreenPC - A Green Approach to High Performance Computers;59;125;1;1621;99000;0,016373737;failed;Hardware;False;False;True;8;2016;30;;
Kiioni - Make movie sharing great again!;40;128;0;479,2637069;39283,9104;0,0122;failed;Web;False;False;False;10;2016;45;;
Thank You All for your support, please help remember them!;58;135;1;7795;60000;0,129916667;failed;Flight;False;False;True;40;2016;30;;
Worlds First Small Global Item Tracking Device Peace of Mind;60;135;1;95794;75000;1,277253333;successful;Hardware;True;False;True;290;2016;30;;
SAFEKLIP;8;135;1;71;40000;0,001775;failed;Gadgets;False;False;True;2;2016;29,31788194;;
eVe by Elocky La Serrure Connectée | The Smart Cylinder Lock;61;122;0;56817,34161;56012,995;1,01436;successful;Hardware;True;False;False;116;2016;30;;
Ship It~ Crowdshipping, The fastest and easiest way to ship;59;112;0;3,34511556;133804,6224;0,000025;failed;Web;False;False;False;3;2016;60;;
Nauroo. The On-Demand Babysitters App.;38;129;1;5388;30000;0,1796;failed;Apps;False;False;True;29;2016;30;;
Pollution Fighting, with Lawnmower Lighting! Cooler Mowing.;59;94;1;0;250000;0;failed;Gadgets;False;False;True;0;2016;30;;
CourageCable: 3.5mm Headphone + Lightning Port for iPhone 7;59;133;1;2416;50000;0,04832;failed;Hardware;False;False;True;24;2016;45;;
UDOO X86: The Most Powerful Maker Board Ever;44;67;1;800211;100000;8,00211;successful;Hardware;True;True;True;4245;2016;54,10545139;;
HomeMonkey.com;14;121;1;1;250000;0,000004;failed;Software;False;False;True;1;2016;30;;
The Z: The most advanced gaming mouse ever made.;48;134;1;514140;140000;3,672428571;successful;Gadgets;True;True;True;3069;2016;45;;
Hudly: Full Color Heads-Up Display for All Cars & Phone Apps;60;128;1;47051;100000;0,47051;failed;Gadgets;False;False;True;259;2016;31,86876157;;
Ultimate Self Locking Clip USLC;31;117;1;596;25000;0,02384;failed;Gadgets;False;False;True;29;2016;30;;
KiwiSDR: BeagleBone Software-defined Radio (SDR) with GPS;57;133;1;70757;50000;1,41514;successful;Hardware;True;False;True;294;2016;30;;
Sky Cart;8;131;1;11;200000;0,000055;failed;Flight;False;False;True;2;2016;33;;
Arm-madillo - Protect your hand and wrist;41;98;1;408;55000;0,007418182;failed;Gadgets;False;False;True;11;2016;30;;
Petcube Bites + Petcube Play: Treat & Care for Pets Remotely;60;126;1;319193;200000;1,595965;successful;Gadgets;True;True;True;2229;2016;45;;
AN EFFECTIVE ANIMAL DETERRENT TO INCREASE EDIBLE CROP YIELD;59;121;1;22;60000;0,000366667;failed;Hardware;False;False;True;3;2016;30;;
Topvirtuel ! Vendez, louez vite et bien!;40;113;0;0;111030,922;0;failed;Web;False;False;False;0;2016;40;;
Suite3Sixty - New Hotel Online Marketplace;42;118;1;110;100000;0,0011;failed;Web;False;False;True;2;2016;30;;
Bringing Live Musical Theater to Reno/Sparks;44;131;1;0;250000;0;failed;Musical;False;False;True;0;2016;59,00393519;;
